page_num,table_index,table_row_index,classification,col_count,col_count_flag,col_00,col_01,col_02,col_03,col_04,col_05,col_06,col_00_raw_repr,artifact_description
4,0,32,ACCEPTED,7,OK,23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,Dura Seal Ltd.,NA,No,'23-411',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Strathearn Court – Building Envelope Rehabilitation'"
8,0,9,ACCEPTED,7,OK,20-097,RFP,Construction Management Services for Capilano Main No. 5 (South Shaft to Chilco) – Stanley Park Water Supply Tunnel,16-Aug-24,Delve Underground Canada Corp. ULC,"$ 13,942,932",Yes,'20-097',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Construction Management Services for Capilano Main No. 5 (South Shaft to Chilco) – Stanley Park Water Supply Tunnel'"
8,0,30,ACCEPTED,7,OK,23-132,ITT,Installation of Central Park Main No. 2 – Phase 2A: Macpherson Ave to Griffiths Ave. (Early Works),5-Sep-24,BD Hall Constructors,"$ 90,000",Yes,'23-132',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Installation of Central Park Main No. 2 – Phase 2A: Macpherson Ave to Griffiths Ave. (Early Works)'"
8,0,31,ACCEPTED,7,OK,23-132,ITT,Installation of Central Park Main No. 2 – Phase 2A: Macpherson Ave to Griffiths Ave. (Early Works),5-Sep-24,B&B Contracting (2012) Ltd.,NA,No,'23-132',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Installation of Central Park Main No. 2 – Phase 2A: Macpherson Ave to Griffiths Ave. (Early Works)'"
8,0,32,ACCEPTED,7,OK,23-132,ITT,Installation of Central Park Main No. 2 – Phase 2A: Macpherson Ave to Griffiths Ave. (Early Works),5-Sep-24,Michels Canada Co.,NA,No,'23-132',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Installation of Central Park Main No. 2 – Phase 2A: Macpherson Ave to Griffiths Ave. (Early Works)'"
8,0,33,ACCEPTED,7,OK,23-132,ITT,Installation of Central Park Main No. 2 – Phase 2A: Macpherson Ave to Griffiths Ave.,25-Oct-24,BD Hall Constructors,"$ 29,630,452",Yes,'23-132',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Installation of Central Park Main No. 2 – Phase 2A: Macpherson Ave to Griffiths Ave.'"
8,0,34,ACCEPTED,7,OK,23-132,ITT,Installation of Central Park Main No. 2 – Phase 2A: Macpherson Ave to Griffiths Ave.,25-Oct-24,B&B Contracting (2012) Ltd.,NA,No,'23-132',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Installation of Central Park Main No. 2 – Phase 2A: Macpherson Ave to Griffiths Ave.'"
8,0,35,ACCEPTED,7,OK,23-132,ITT,Installation of Central Park Main No. 2 – Phase 2A: Macpherson Ave to Griffiths Ave.,25-Oct-24,Michels Canada Co.,NA,No,'23-132',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Installation of Central Park Main No. 2 – Phase 2A: Macpherson Ave to Griffiths Ave.'"
8,0,38,ACCEPTED,7,OK,23-341,RFP,Stanley Park Water Supply Tunnel Project – South Shaft and Bypass Piping Fabrication and Supply,16-Sep-24,Northwest Pipe Company,"$ 5,765,599",Yes,'23-341',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Stanley Park Water Supply Tunnel Project – South Shaft and Bypass Piping Fabrication and Supply'"
8,0,39,ACCEPTED,7,OK,23-341,RFP,Stanley Park Water Supply Tunnel Project – South Shaft and Bypass Piping Fabrication and Supply,16-Sep-24,Ideal Welders Ltd.,NA,No,'23-341',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Stanley Park Water Supply Tunnel Project – South Shaft and Bypass Piping Fabrication and Supply'"
9,0,21,ACCEPTED,7,OK,24-044,RFP,Consulting Engineering Services for Renewable Natural Gas Facility at Iona Island WWTP,2-Oct-24,Sacre‐Davey Engineering,NA,No,'24-044',"field=vendor_name, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Sacre‐Davey Engineering'"
9,0,39,ACCEPTED,7,OK,24-361,ITT,Tynehead Regional Park – Gerow Barn Roof Replacement,7-Oct-24,Bollman Roofing & Sheet Metal Ltd.,"$ 1 22,550",Yes,'24-361',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Tynehead Regional Park – Gerow Barn Roof Replacement'"
10,0,1,ACCEPTED,7,OK,24-361,ITT,Tynehead Regional Park – Gerow Barn Roof Replacement,7-Oct-24,Flynn Canada Ltd.,NA,No,'24-361',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Tynehead Regional Park – Gerow Barn Roof Replacement'"
10,0,3,ACCEPTED,7,OK,24-232,ITQ,Archaeological Impact Assessment for the South Surrey Interceptor – Delta Section Rehabilitation,9-Oct-24,ISL Engineering and Land Services Ltd.,"$ 2 02,467",Yes,'24-232',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Archaeological Impact Assessment for the South Surrey Interceptor – Delta Section Rehabilitation'"
10,0,6,ACCEPTED,7,OK,22-167,RFP,Construction Management for Services and Construction (At-Risk) for Heron’s Nest (Pitt Meadows) Affordable Housing and Childcare Development,30-Oct-24,Scott Construction (2005) Ltd.,"$ 66,720,545",Yes,'22-167',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Construction Management for Services and Construction (At-Risk) for Heron’s Nest (Pitt Meadows) Affordable Housing and Childcare Development'"
10,0,34,ACCEPTED,7,OK,24-273,RFP,Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework,24-Oct-24,NIVA Inc.,"$ 9 4,500",Yes,'24-273',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework'"
10,0,35,ACCEPTED,7,OK,24-273,RFP,Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework,24-Oct-24,Adrian Brown Group Inc.,NA,No,'24-273',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework'"
10,0,36,ACCEPTED,7,OK,24-273,RFP,Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework,24-Oct-24,Believeco:Partners Ltd.,NA,No,'24-273',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework'"
10,0,37,ACCEPTED,7,OK,24-273,RFP,Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework,24-Oct-24,Bright Future Studio Ltd.,NA,No,'24-273',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework'"
10,0,38,ACCEPTED,7,OK,24-273,RFP,Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework,24-Oct-24,Carleton University,NA,No,'24-273',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework'"
11,0,1,ACCEPTED,7,OK,24-273,RFP,Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework,24-Oct-24,Crestview Strategy Inc.,NA,No,'24-273',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework'"
11,0,2,ACCEPTED,7,OK,24-273,RFP,Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework,24-Oct-24,GHD Ltd.,NA,No,'24-273',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework'"
11,0,3,ACCEPTED,7,OK,24-273,RFP,Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework,24-Oct-24,Global Public Affairs,NA,No,'24-273',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework'"
11,0,4,ACCEPTED,7,OK,24-273,RFP,Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework,24-Oct-24,Imvelo,NA,No,'24-273',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework'"
11,0,5,ACCEPTED,7,OK,24-273,RFP,Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework,24-Oct-24,Lucent Quay Consulting Inc.,NA,No,'24-273',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework'"
11,0,6,ACCEPTED,7,OK,24-273,RFP,Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework,24-Oct-24,Navigator Ltd.,NA,No,'24-273',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework'"
11,0,7,ACCEPTED,7,OK,24-273,RFP,Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework,24-Oct-24,Prism Engineering Ltd.,NA,No,'24-273',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework'"
11,0,8,ACCEPTED,7,OK,24-273,RFP,Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework,24-Oct-24,Spur Communications Inc.,NA,No,'24-273',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework'"
11,0,9,ACCEPTED,7,OK,24-273,RFP,Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework,24-Oct-24,Urban Systems Ltd.,NA,No,'24-273',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework'"
11,0,10,ACCEPTED,7,OK,24-273,RFP,Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework,24-Oct-24,WeUsThem Inc.,NA,No,'24-273',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework'"
11,0,11,ACCEPTED,7,OK,24-273,RFP,Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework,24-Oct-24,Yulu Public Relations,NA,No,'24-273',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Develop a Comprehensive Communications Strategy Framework to Support Metro Vancouver’s Climate 2050 Strategic Framework'"
12,0,14,ACCEPTED,7,OK,24-409,RFP,Who is Here? – Audience Research,7-Nov-24,Deetken Enterprises Inc.,"$ 9 1,690",Yes,'24-409',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Who is Here? – Audience Research'"
12,0,15,ACCEPTED,7,OK,24-409,RFP,Who is Here? – Audience Research,7-Nov-24,Angus Reid Group Inc.,NA,No,'24-409',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Who is Here? – Audience Research'"
12,0,16,ACCEPTED,7,OK,24-409,RFP,Who is Here? – Audience Research,7-Nov-24,Deloitte LLP,NA,No,'24-409',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Who is Here? – Audience Research'"
12,0,17,ACCEPTED,7,OK,24-409,RFP,Who is Here? – Audience Research,7-Nov-24,Environics Research Group Ltd.,NA,No,'24-409',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Who is Here? – Audience Research'"
12,0,18,ACCEPTED,7,OK,24-409,RFP,Who is Here? – Audience Research,7-Nov-24,HumanSystems Inc.,NA,No,'24-409',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Who is Here? – Audience Research'"
12,0,19,ACCEPTED,7,OK,24-409,RFP,Who is Here? – Audience Research,7-Nov-24,MNP LLP,NA,No,'24-409',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Who is Here? – Audience Research'"
12,0,20,ACCEPTED,7,OK,24-409,RFP,Who is Here? – Audience Research,7-Nov-24,SoIuZone Consulting Inc.,NA,No,'24-409',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Who is Here? – Audience Research'"
12,0,21,ACCEPTED,7,OK,24-409,RFP,Who is Here? – Audience Research,7-Nov-24,Spur Communications Inc.,NA,No,'24-409',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Who is Here? – Audience Research'"
12,0,22,ACCEPTED,7,OK,24-409,RFP,Who is Here? – Audience Research,7-Nov-24,WeUsThem Inc.,NA,No,'24-409',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Who is Here? – Audience Research'"
12,0,23,ACCEPTED,7,OK,24-409,RFP,Who is Here? – Audience Research,7-Nov-24,Adrian Brown Group Inc.,NA,No,'24-409',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Who is Here? – Audience Research'"
13,0,13,ACCEPTED,7,OK,24-074,RFP,Consulting Services for the Assessment of Facility Management Services Coquitlam Lake Water Supply Projects – Program Management and,21-Nov-24,Roth IAMS Ltd.,NA,No,'24-074',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Consulting Services for the Assessment of Facility Management Services Coquitlam Lake Water Supply Projects – Program Management and'"
13,0,14,ACCEPTED,7,OK,24-006B,RFP,Consulting Engineering Services. Component 2(B) : Program Management aCnodq uCiotlnasmu lLtiankge EWngaitneere Sruinpgp Slye Prvriocjeesc tfso r– C Porqougritalamm M Maaniang Nemo.e 4n Pt raonjde ct,21-Nov-24,CIMA Canada Inc.,"$ 1 7,424,401",Yes,'24-006B',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Consulting Engineering Services. Component 2(B) : Program Management aCnodq uCiotlnasmu lLtiankge EWngaitneere Sruinpgp Slye Prvriocjeesc tfso r– C Porqougritalamm M Maaniang Nemo.e 4n Pt raonjde ct'"
13,0,15,ACCEPTED,7,OK,24-006B,RFP,Consulting Engineering Services. Component 2(B) : Program Management aCnodq uCiotlnasmu lLtiankge EWngaitneere Sruinpgp Slye Prvriocjeesc tfso r– C Porqougritalamm M Maaniang Nemo.e 4n Pt raonjde ct,21-Nov-24,Carollo Engineers Canada Ltd.,NA,No,'24-006B',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Consulting Engineering Services. Component 2(B) : Program Management aCnodq uCiotlnasmu lLtiankge EWngaitneere Sruinpgp Slye Prvriocjeesc tfso r– C Porqougritalamm M Maaniang Nemo.e 4n Pt raonjde ct'"
13,0,16,ACCEPTED,7,OK,24-006A,RFP,Consulting Engineering Services. Component 1 (A): Program Management SCeorqvuicitelas man Lda Ckeo nWsualtteinr gS uEpnpgilny ePerroijnegc tSse –rv Picreosg rfaomr t hMea Tnraegaetmmeenntt Panilodt Testing,27-Nov-24,Jacobs Consultancy Canada Inc.,"$ 7 4,512,561",Yes,'24-006A',"field=competition_description, pattern='[^\\x00-\\x7F\\xC0-\\xFF]', value='Consulting Engineering Services. Component 1 (A): Program Management SCeorqvuicitelas man Lda Ckeo nWsualtteinr gS uEpnpgilny ePerroijnegc tSse –rv Picreosg rfaomr t hMea Tnraegaetmmeenntt Panilodt Testing'"
